"Comparison","Features passing FDR < 0.01","Features passing FDR < 0.05","Features passing FDR < 0.1","Features passing p-value < 0.01","Features passing p-value < 0.05","Features passing p-value < 0.1"
"Body vs Tail",0,0,0,202,922,1789
"Body vs Tail",0,0,0,202,922,1789
